"Worksheets Name","Activity Order","LEVEL","Multiple Choice","PDF LINK","Tutor Activity Level","Welsh","PDF EMBED","PDF Link","Activity Month","Activity Score Profile","Text Formula","PDFLink","LOW Score","MID Score","HIGH Score","Record ID"
"Finding Flow","34","2","PRACTICE","<hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE - Finding Flow.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20Finding%20Flow.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20Finding%20Flow.pdf","April","Low","PR234","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20Finding%20Flow.pdf","Yes","","","608ae6e7bbfb9c001c32ac2c"
"A2-Atal Meddyliau Negyddol","34","3","ATTITUDE","<hr style=""height:2px;background-color:#ff769c;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A2-Atal%20Meddyliau%20Negyddol.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#ff769c;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A2-Atal%20Meddyliau%20Negyddol.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A2-Atal%20Meddyliau%20Negyddol.pdf","March","High","AT334","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A2-Atal%20Meddyliau%20Negyddol.pdf","","","Yes","645d53a4e06f930b58f98917"
"Lifestyle vs Job Envy","34","","VISION","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Lifestyle%20vs%20Job%20Envy%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Lifestyle%20vs%20Job%20Envy%28editable%29.pdf","April","Low-Mid","VI34","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Lifestyle%20vs%20Job%20Envy%28editable%29.pdf","Yes","Yes","","670fd72a7a774b02cea96c42"
"Eisenhower Matrix","35","3","SYSTEMS","<hr style=""height:2px;background-color:#aad950;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S7-Eisenhower Matrix.pdf"" target=""_blank""><span style=""color:rgb(118, 146, 60)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#aad950;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S7-Eisenhower%20Matrix.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S7-Eisenhower%20Matrix.pdf","April","High","SY335","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S7-Eisenhower%20Matrix.pdf","","","Yes","608516b2099247001c9b3c88"
"High Flow Spaces","35","2","PRACTICE","<hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE - High Flow Spaces.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20High%20Flow%20Spaces.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20High%20Flow%20Spaces.pdf","February","Mid","PR235","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20High%20Flow%20Spaces.pdf","","Yes","","608ae760bbfb9c001c32acf8"
"S7-Matrics Eisenhower","35","3","SYSTEMS","<hr style=""height:2px;background-color:#aad950;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S7-Matrics%20Eisenhower.pdf"" target=""_blank""><span style=""color:rgb(118, 146, 60)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#aad950;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S7-Matrics%20Eisenhower.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S7-Matrics%20Eisenhower.pdf","April","High","SY335","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S7-Matrics%20Eisenhower.pdf","","","Yes","645d5393e06f930b58f988bf"
"Cog P vs Cog A","35","","PRACTICE","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/PRACTICE/PRACTICE%20-%20Cog%20P%20v%20Cog%20A%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/PRACTICE/PRACTICE%20-%20Cog%20P%20v%20Cog%20A%28editable%29.pdf","May","All","PR35","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/PRACTICE/PRACTICE%20-%20Cog%20P%20v%20Cog%20A%28editable%29.pdf","","","","670fd72b7a774b02cea96d35"
"Now vs Most","36","2","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION - What's Stopping You.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20Now%20vs%20Most.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20Now%20vs%20Most.pdf","April","Mid-High","VI236","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20Now%20vs%20Most.pdf","","Yes","Yes","608515ff63e5b0001cf79d7e"
"P4-Blwch Leitner","36","3","PRACTICE","<hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P4-Blwch%20Leitner.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P4-Blwch%20Leitner.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P4-Blwch%20Leitner.pdf","April","Mid","PR336","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P4-Blwch%20Leitner.pdf","","Yes","","645d537de06f930b58f98847"
"Leitner Box","36","3","PRACTICE","","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P4-Leitner%20Box.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P4-Leitner%20Box.pdf","April","Mid","PR336","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P4-Leitner%20Box.pdf","","Yes","","670fd7287a774b02cea96a14"
"The Sunday Night Ritual","36","","SYSTEMS","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20The%20Sunday%20Night%20Ritual%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20The%20Sunday%20Night%20Ritual%28editable%29.pdf","May","Low-Mid","SY36","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20The%20Sunday%20Night%20Ritual%28editable%29.pdf","Yes","Yes","","670fd72b7a774b02cea96d3f"
"Project Progress Chart","37","3","SYSTEMS","<hr style=""height:2px;background-color:#aad950;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S6-Project Progress Chart.pdf"" target=""_blank""><span style=""color:rgb(118, 146, 60)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#aad950;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S6-Project%20Progress%20Chart.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S6-Project%20Progress%20Chart.pdf","April","High","SY337","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S6-Project%20Progress%20Chart.pdf","","","Yes","6085169c919162001b6e2552"
"Action Priority Matrix","37","2","SYSTEMS","<hr style=""height:2px;background-color:#aad950;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/SYSTEMS - Action Priority Matrix.pdf"" target=""_blank""><span style=""color:rgb(118, 146, 60)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#aad950;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/SYSTEMS%20-%20Action%20Priority%20Matrix.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/SYSTEMS%20-%20Action%20Priority%20Matrix.pdf","April","High","SY237","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/SYSTEMS%20-%20Action%20Priority%20Matrix.pdf","","","Yes","608516cc45797e001d577ff2"
"S6-Siart Cynnydd Prosiect","37","3","SYSTEMS","<hr style=""height:2px;background-color:#aad950;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S6-Siart%20Cynnydd%20Prosiect.pdf"" target=""_blank""><span style=""color:rgb(118, 146, 60)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#aad950;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S6-Siart%20Cynnydd%20Prosiect.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S6-Siart%20Cynnydd%20Prosiect.pdf","April","High","SY337","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S6-Siart%20Cynnydd%20Prosiect.pdf","","","Yes","645d538ee06f930b58f988bc"
"Odyssey Planning","37","","VISION","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Odyssey%20Planning%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Odyssey%20Planning%28editable%29.pdf","May","Low-Mid","VI37","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Odyssey%20Planning%28editable%29.pdf","Yes","Yes","","670fd72b7a774b02cea96d49"
"Benefit Finding","38","2","ATTITUDE","<hr style=""height:2px;background-color:#ff769c;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE - Benefit Finding.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#ff769c;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE%20-%20Benefit%20Finding.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE%20-%20Benefit%20Finding.pdf","April","High","AT238","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE%20-%20Benefit%20Finding.pdf","","","Yes","6089d7446bd968001c3e0d8d"
"Two Slow, One Fast","38","3","PRACTICE","<hr style=""height:2px;background-color:#a986ff;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P5-2%20Slow%2C1%20Fast.pdf"" target=""_blank""><span style=""color:rgb(128, 100, 162)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a986ff;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P5-2%20Slow%2C1%20Fast.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P5-2%20Slow%2C1%20Fast.pdf","April","Mid","PR338","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P5-2%20Slow%2C1%20Fast.pdf","","Yes","","608ae5d9a12588001bddf184"
"P5-Dau Araf,2C Un Cyflym","38","3","PRACTICE","<hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P5-Dau%20Araf%2C%20Un%20Cyflym.pdf"" target=""_blank""><span style=""color:rgb(128, 100, 162)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P5-Dau%20Araf%2C%20Un%20Cyflym.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P5-Dau%20Araf%2C%20Un%20Cyflym.pdf","April","Mid","PR338","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P5-Dau%20Araf%2C%20Un%20Cyflym.pdf","","Yes","","645d5383e06f930b58f9884a"
"A Dozen Noticeboards","38","","ATTITUDE","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20A%20Dozen%20Noticeboards%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20A%20Dozen%20Noticeboards%28editable%29.pdf","June","Mid-High","AT38","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20A%20Dozen%20Noticeboards%28editable%29.pdf","","Yes","Yes","670fd72a7a774b02cea96cdb"
"There and Back","39","3","ATTITUDE","<hr style=""height:2px;background-color:#ff769c;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A4-There%20%26%20Back.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#ff769c;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A4-There%20%26%20Back.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A4-There%20%26%20Back.pdf","May","Low","AT339","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A4-There%20%26%20Back.pdf","Yes","","","6089d6026bd968001c3e02fe"
"The Change Curve","39","3","ATTITUDE","<hr style=""height:2px;background-color:#ff769c;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A6-Change Curve.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#ff769c;border:none"" />","ALevel Mindset","No","","","","","AT339","","","","","6089d6a86bd968001c3e0851"
"First Aid Kit","39","2","ATTITUDE","<hr style=""height:2px;background-color:#ff769c;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE - The First Aid Kit.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#ff769c;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE%20-%20The%20First%20Aid%20Kit.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE%20-%20The%20First%20Aid%20Kit.pdf","October","All","AT239","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE%20-%20The%20First%20Aid%20Kit.pdf","","","","6089d76b56eab8001eddba14"
"A4-Yno ac yn ôl","39","3","ATTITUDE","<hr style=""height:2px;background-color:#ff769c;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A4-Yno%20ac%20yn%20%C3%B4l.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#ff769c;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A4-Yno%20ac%20yn%20%C3%B4l.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A4-Yno%20ac%20yn%20%C3%B4l.pdf","May","Low","AT339","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A4-Yno%20ac%20yn%20%C3%B4l.pdf","Yes","","","645d539ae06f930b58f988f5"
"Think Three Positives","39","","ATTITUDE","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20Think%20Three%20Positives%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20Think%20Three%20Positives%28editable%29.pdf","June","Low-Mid","AT39","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20Think%20Three%20Positives%28editable%29.pdf","Yes","Yes","","670fd72a7a774b02cea96ce5"
"Stand Tall","40","3","ATTITUDE","<hr style=""height:2px;background-color:#ff769c;border:none"" />
<p style=""text-align:center""><strong><a href=""https://vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A8-Stand%20Tall.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#ff769c;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A8-Stand%20Tall.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A8-Stand%20Tall.pdf","May","Mid-High","AT340","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A8-Stand%20Tall.pdf","","Yes","Yes","6089d61f56eab8001eddaced"
"Pre-Making Decisions","40","2","EFFORT","<hr style=""height:2px;background-color:#a4c2f4;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT - Pre-Making Decisions.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a4c2f4;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT%20-%20Pre-Making%20Decisions.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT%20-%20Pre-Making%20Decisions.pdf","January","Low","EF240","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT%20-%20Pre-Making%20Decisions.pdf","Yes","","","608ae2733d86e2001b8a2ae6"
"A8-Sefyll yn Dalsyth","40","3","ATTITUDE","<hr style=""height:2px;background-color:#ff769c;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A8-Sefyll%20yn%20Dalsyth.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#ff769c;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A8-Sefyll%20yn%20Dalsyth.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A8-Sefyll%20yn%20Dalsyth.pdf","May","Mid-High","AT340","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/A8-Sefyll%20yn%20Dalsyth.pdf","","Yes","Yes","645d5399e06f930b58f988da"
"Overnight Boost","40","","PRACTICE","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/PRACTICE/PRACTICE%20-%20The%20Overnight%20boost%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/PRACTICE/PRACTICE%20-%20The%20Overnight%20boost%28editable%29.pdf","June","Low-Mid","PR40","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/PRACTICE/PRACTICE%20-%20The%20Overnight%20boost%28editable%29.pdf","Yes","Yes","","670fd72b7a774b02cea96cef"
"Boosters vs Sappers","41","","SYSTEMS","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20Boosters%20%26%20Sappers.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20Boosters%20%26%20Sappers.pdf","June","Low-Mid","SY41","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/SYSTEMS/SYSTEMS%20-%20Boosters%20%26%20Sappers.pdf","Yes","Yes","","670fd72b7a774b02cea96cf9"
"The 1-10 Scale","53","3","EFFORT","<hr style=""height:2px;background-color:#a4c2f4;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E1-1-10 Scale.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a4c2f4;border:none"" />","ALevel Mindset","No","","","","","EF353","","","","","608ae2dd494c43001b13c514"
"The 3R's of Habit","63","3","EFFORT","<hr style=""height:2px;background-color:#a4c2f4;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E3 - 3R's of Habit.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a4c2f4;border:none"" />","ALevel Mindset","No","","","","","EF363","","","","","608ae562bbfb9c001c32ab1e"
"The Leitner Box","64","3","PRACTICE","<hr style=""height:2px;background-color:#a986ff;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P4-Leitner Box.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a986ff;border:none"" />","ALevel Mindset","No","","","","","PR364","","","","","608ae585cde0dd001e73a6e6"
"The Revision Questionnaire","77","3","PRACTICE","<hr style=""height:2px;background-color:#a986ff;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P1-Revision Questionnaire.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a986ff;border:none"" />","ALevel Mindset","No","","","","","PR377","","","","","608ae743b14061001beab24f"
